Product_Name,Number_Of_Reviews,Rating,Product_Price,Product_URL,Description,ASIN,Product_Description_Table,Manufacturer
URBAN TRIBE Move Travel/Office/Casual/Laptop Backpack,10,3.5,[798],https://www.amazon.in/URBAN-TRIBE-Move-Backpack-Repellent/dp/B0BP1QM6W5/ref=sr_1_37_sspa?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-37-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1&smid=A385M0TPSNV7VS," Made with strong and premium 450D Polyester  , Max padded 15.4"" Laptop compartment  , Cool and stylish looks  , Unique front quick access mesh pockets  , Large front pocket for extra convenience  ",B0BP1QM6W5,"{'product_description': ['Made with strong and premium 450D Polyester Max padded 15.4"" Laptop compartment Cool and stylish looks Unique front quick access mesh pockets Large front pocket for extra convenience Available in smart colors'], 'from_manufacturer_text': [], 'Product Dimensions': '14 x 32 x 44 cm; 510 Grams', 'Date First Available': '5 December 2022', 'Manufacturer': 'Backpack International Pvt Ltd, Backpack International Pvt Ltd', 'ASIN': 'B0BP1QM6W5', 'Item model number': 'Move', 'Country of Origin': 'India', 'Department': 'unisex-adult', 'Packer': 'Backpack International Pvt Ltd', 'Importer': 'Backpack International Pvt Ltd', 'Item Weight': '510 g', 'Item Dimensions LxWxH': '14 x 32 x 44 Centimeters', 'Net Quantity': '1.00 count'}","Backpack International Pvt Ltd, Backpack International Pvt Ltd"
"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",684,3.9,[998],https://www.amazon.in/Urban-Tribe-Laptop-Backpack-Havana/dp/B01LXNNFDF/ref=sr_1_17_sspa?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-17-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA&psc=1," Laptop Compatibility: Yes, Laptop size: 15.6 inches  , Outer Material: Polyester, Color: Black  , Water Resistance: Water resistant  , Dimensions: 33 cms x 17.5 cms x 47 cms (LxWxH)  , Warranty type: Manufacturer; 12 months warranty against manufacturing defects  ",B01LXNNFDF,"{'product_description': [], 'from_manufacturer_text': ['Ergonomically Designed', 'The Laptop Bag by Urban Tribe is a well structured and ergonomically designed. It is has spacious compartments as well as an anti-clutter mobile phone charging compartment. The bag is very handy and provides comfort to the user. Carry it in style.', 'Extra Charging Compartment', 'The bag has a separate mobile phone charging compartment to give you an anti-clutter experience while you charge your phone.', 'Spacious Compartment', 'The bag has a spacious main compartment where you can carry your belongings such as your notebooks, pens, laptop, mobile etc. It is perfect for college going students who are looking for design and functionality, all in a single bag.', 'Withstand heavy weight', 'The bag is made of Polyester, making it durable and resistant to water, wear-and-tear thus making it sturdy enough to withstand heavy weight. Carry your laptop, books, mobile, wallet etc. with this bag all at once.'], 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '83.82 x 44.45 x 119.38 cm; 500 Grams', 'Date First Available': '3 March 2017', 'Manufacturer': 'Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901', 'ASIN': 'B01LXNNFDF', 'Item model number': 'Havana', 'Country of Origin': 'India', 'Department': 'unisex-adult', 'Packer': 'Backpack International Pvt Ltd, Contact no +919769487901', 'Importer': 'Backpack International Pvt Ltd, Contact no +919769487901', 'Item Weight': '500 g', 'Item Dimensions LxWxH': '83.8 x 44.4 x 119.4 Centimeters', 'Net Quantity': '1.00 count', 'Generic Name': 'Laptop Backpack'}","Backpack International Pvt Ltd, Backpack International Pvt Ltd, Contact no +919769487901"
NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),33,3.7,[599],https://www.amazon.in/NORTH-ZONE-backpack-INVALID-DATA_grey/dp/B0BH8S9QGH/ref=sr_1_1_sspa?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1," KEY FEATURES - Black Colour Laptop Backpack for Men and Women for Stylish Office use as well as for Trendy College students. Huge compartment size that can fit upto a 15.6 inch Laptop with ease. Multiple pockets for other accessories.   , Charging On the Go - Now charge your phone on the go while travelling without the hassle of holding the bulky power bank in your pocket or in your hand. Simple Connect your Powerbank to the wire inside the Bag and leave it in the bag. When you want to charge your phone, just connect your phone charger to the bag and your phone will start charging. IMPORTANT NOTE: We do NOT provide Free Portable Charger with the Bag   , Anti Theft Design - This backpack by Fur Jaden has anti theft design where zipper of the main pocket is hidden at the back. No thief, intruder or robber can find a way to open the backpack, making this totally theft proof. There are secret pockets on the shoulder strap and on the sides of the bag allowing us to keep travel documents, boarding pass, credit cards, mobile phone, earphones etc.   , Essence of Fur Jaden - We craft signature Laptop Backpacks and Casual Backpacks that are young, vibrant and fashionable, and yet a celebration of timeless style, luxe and sophistication. We strive to make thoughtful designs that are high on aesthetics as well as on utility and functionality.; 100% Genuine NORTHZONE Men products, 10 days No Question asked replacement guarantee from the date of delivery   , Age Range Description: Adult; Color Name: Grey; Lining Description: Polyester; Pattern Name: Solid; Material Type: Polyester   ",B0BH8S9QGH,"{'product_description': ['NORTH ZONE is inspired by the generation of young achievers. They aim to craft accessories with thoughtful design, good aesthetics and functionality which could accompany many confident men and women who face their urban adventures with effortless charm, cool confidence, and fearless spirit. If you ever wanted a versatile bag that is suitable for you work, school/college or your leisure getaways, the NORTHZONE anti-theft backpack is your best bet.'], 'from_manufacturer_text': [], 'Package Dimensions': '41 x 36 x 3.5 cm; 460 Grams', 'Date First Available': '4 October 2022', 'ASIN': 'B0BH8S9QGH', 'Item model number': 'ANTI-01', 'Country of Origin': 'India', 'Department': 'Unisex-adult', 'Item Weight': '460 g'}",
ADISA Laptop Backpack 31 Ltrs,516,4.0,[499],https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_20?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-20," Adjustable Shoulder Handles / Two Bottle holders / Padded Top Handle / Reflector Logo  , NOT INCLUDED: NO RAINCOVER, Headphone & Cable (Images only for display)  , Laptop Size : 15.6 inches and below (Bigger than 15.6 inches not recommended)  , Compartments: 2 with full padding; Front Easy-Access Pocket  , Dimensions : L x W x H- 12 x 7 x 18 inches  ",B07G3CG9FC,"{'product_description': [], 'from_manufacturer_text': ['Holding your bag on shoulder rather on hands convenient, to commute to your daily routine. Whether you are riding a two-wheeler, travelling by buses or catching trains to reach your destination, backpacks are the most suitable choice. Not restricted to laptops, backpacks are becoming common for colleges, schools and gyms.', 'ADISA Light Weight Casual Laptop Backpack is one such multi-purpose bag created with extra-large compartmentS and pockets to organize every big and small accessory. Made of lightweight polyester, it is durable, waterproof and easy to carry. It can be cleaned easily or washed manually. If you are looking for money worth and durable backpack, then try this edition.', 'Ideal Design To Relax Your Back', 'Backpacks are an ideal option to carry laptops and luggage. To make it comfortable for daily usage, travelling in buses and catching trains, the bags are created with durable polyester fabric.', 'To keep your back relaxed and free of pain, it has an ergonomic back design. It also features:', 'Large Capacity and Roomy Compartments', 'To meet your day to day need, Adisa Casual Laptop Backpack is a lightweight, multi-utility bag. It is fit to use as a laptop bag and a travel bag too. You can either take it to the office, tour, or gym. It exhibits multiple functions', 'Quality Metal Zipper', 'Tested for quality and pressure, the zipper is made of the metal locking with a compatible pulling strap keeping the laptop and other accessories safe within.', 'Padded Handle', 'The bag features a strong padded handle, for an easy holding and comfortable grip to be used as a carry bag.', 'Bottle Holders', 'Keeping your travel and gym needs in mind, the bag is fitted with two strong mesh fabric bottle holders on each side of the bag.'], 'Product Dimensions': '30.5 x 17.8 x 45.7 cm; 430 Grams', 'Date First Available': '26 July 2018', 'Manufacturer': 'ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com', 'ASIN': 'B07G3CG9FC', 'Item model number': 'BP004', 'Country of Origin': 'India', 'Department': 'Men', 'Packer': 'ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com', 'Item Weight': '430 g', 'Item Dimensions LxWxH': '30.5 x 17.8 x 45.7 Centimeters', 'Net Quantity': '1.00 Unit', 'Included Components': 'Laptop backpack only', 'Generic Name': 'Laptop backpack'}","ADISA, ADISA INTERNATIONAL, 42/34, Upper Ground Floor, DLF Industrial Area, Kirti Nagar, New Delhi 110015, careadisa@gmail.com"
"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L",2166,4.2,[1196],https://www.amazon.in/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384/ref=sr_1_86_sspa?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-86-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1," Care Instructions: Hand Wash Only  , Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop   , Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry   , Front Organizer compartments for pens, keys, and cell phone   , Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket   ",B078JVT384,"{'product_description': ['Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.\xa0 This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move.\xa0Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+'], 'from_manufacturer_text': ['Cosmus Madi', 'son 2 compartments Large Navy Blue / Black /Grey/Royal Blue Laptop backpack', 'Perfect for daily commuter or occasional traveller, this strong backpack is loaded with pockets/compartments to hold all your important documents.15.6 inche', 's premium Laptop backpack is made from High-Grade polyester fabric and features a well organized design with high quality fittings.', 'Some silent features are -', '1 :- Laptop compartment', '2 :- Capacity of 33L and can easily carry weight', '3 :- 2 big compartments and 2 external Front pockets.', '4 :- Two sided pockets & water bottle holder', '5 :- Waterproof & long lasting.', 'Padded straps', 'This travel laptop backpack suits your style to look modern and fashionable & is very comfortable to carry. Thick and well padded shoulder straps makes the bag feel lighter while carrying. Breathable and adjustable shoulder straps relieve the stress on your shoulders and gives your back comfort and very a good support. A well furnished and sturdy top handle ensures comfort for long hours carrying.', 'Cushioned and Adjustable Straps', 'The bag has been designed with cushioned shoulder straps that do not cause discomfort when carrying the bag for long. Besides, the straps are also adjustable to provide each individual with the comfort they need.', 'Laptop compartment', 'S', 'atellite L', 'aptop backpack is a perfect Laptop bag for daily use, its cushioned pocket keeps your Laptop secure,Compatible for 15.6 inches', 'Lock Type', 'Butterfly lock is the lock type for this backpack. This lock provides enhanced security.', 'his backpack consists of 2 compartments. Therefore, you can carry all your essentials without any worries.', 'This backpack comes with versatile usage facility. This backpack can also be used for carrying papers, documents, bottles, etc.'], 'Product Dimensions': '33.02 x 21.59 x 45.72 cm; 750 Grams', 'Date First Available': '20 December 2017', 'Manufacturer': 'Cosmus, B-24, 1st Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India  400059 Mobile: +91 8767008844', 'ASIN': 'B078JVT384', 'Item model number': '40051011046', 'Country of Origin': 'India', 'Department': 'unisex-adult', 'Packer': 'B-24, 1st Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India  400059 Mobile: +91 8767008844', 'Item Weight': '750 g', 'Item Dimensions LxWxH': '33 x 21.6 x 45.7 Centimeters', 'Net Quantity': '1.00 count'}","Cosmus, B-24, 1st Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India  400059 Mobile: +91 8767008844"
"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L",2166,4.2,[1196],https://www.amazon.in/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384/ref=sr_1_38_sspa?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-38-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1," Care Instructions: Hand Wash Only  , Large multi-compartment backpack with a padded sleeve for laptops, Holds up to 15 inches Laptop   , Water Resistance PU Coated Durable Fabric, with padded back section for comfortable carry   , Front Organizer compartments for pens, keys, and cell phone   , Age Range Description: Adult; Strap Type: Cross-Body; Warranty Description: Warranty: 1 Year Warranty Against Manufacturing Defects.; Pattern Name: Solid; Closure Type: Zipper; Water Resistance Level: Water Resistant; Pocket Description: Utility Pocket   ",B078JVT384,"{'product_description': ['Designed to give ultimate comfort, this school bag from Cosmus is a Multipurpose Backpack Bag use it as school bag or regular casual backpack for daily use.\xa0 This school bag is designed with copious space and sturdy shoulder straps to help children accommodate all essentials while on the move.\xa0Key Features High on quality and durability Attractive design Spacious to accommodate all essentials Two main compartment, two front compartment Two side Mesh pockets Specifications Material PU coated Polyester Fabric. Dimensions: 13 x 18 x 8.5 [inches] (WxHxD); Weight: 755 gms Suggestive Age - 8 Years+'], 'from_manufacturer_text': ['Cosmus Madi', 'son 2 compartments Large Navy Blue / Black /Grey/Royal Blue Laptop backpack', 'Perfect for daily commuter or occasional traveller, this strong backpack is loaded with pockets/compartments to hold all your important documents.15.6 inche', 's premium Laptop backpack is made from High-Grade polyester fabric and features a well organized design with high quality fittings.', 'Some silent features are -', '1 :- Laptop compartment', '2 :- Capacity of 33L and can easily carry weight', '3 :- 2 big compartments and 2 external Front pockets.', '4 :- Two sided pockets & water bottle holder', '5 :- Waterproof & long lasting.', 'Padded straps', 'This travel laptop backpack suits your style to look modern and fashionable & is very comfortable to carry. Thick and well padded shoulder straps makes the bag feel lighter while carrying. Breathable and adjustable shoulder straps relieve the stress on your shoulders and gives your back comfort and very a good support. A well furnished and sturdy top handle ensures comfort for long hours carrying.', 'Cushioned and Adjustable Straps', 'The bag has been designed with cushioned shoulder straps that do not cause discomfort when carrying the bag for long. Besides, the straps are also adjustable to provide each individual with the comfort they need.', 'Laptop compartment', 'S', 'atellite L', 'aptop backpack is a perfect Laptop bag for daily use, its cushioned pocket keeps your Laptop secure,Compatible for 15.6 inches', 'Lock Type', 'Butterfly lock is the lock type for this backpack. This lock provides enhanced security.', 'his backpack consists of 2 compartments. Therefore, you can carry all your essentials without any worries.', 'This backpack comes with versatile usage facility. This backpack can also be used for carrying papers, documents, bottles, etc.'], 'Product Dimensions': '33.02 x 21.59 x 45.72 cm; 750 Grams', 'Date First Available': '20 December 2017', 'Manufacturer': 'Cosmus, B-24, 1st Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India  400059 Mobile: +91 8767008844', 'ASIN': 'B078JVT384', 'Item model number': '40051011046', 'Country of Origin': 'India', 'Department': 'unisex-adult', 'Packer': 'B-24, 1st Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India  400059 Mobile: +91 8767008844', 'Item Weight': '750 g', 'Item Dimensions LxWxH': '33 x 21.6 x 45.7 Centimeters', 'Net Quantity': '1.00 count'}","Cosmus, B-24, 1st Floor, Ajay Mittal Industrial Estate Andheri Kurla Road, Marol, Andheri (E) Mumbai, Maharashtra, India  400059 Mobile: +91 8767008844"
Lino Perros Sling bag,425,4.4,[829],https://www.amazon.in/Lino-Perros-Womens-Sling-Black/dp/B07B4FBQ3X/ref=sr_1_180?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365389&sprefix=bag%2Caps%2C551&sr=8-180," Leatherette Red Colored Sling bag  , 15 centimeters height X 24 centimeters length X 8 centimeters width  , Compartment : 1  , Closure : Snap , Pockets : 2  , Do not expose to extreme heat  ",B07B4FBQ3X,"{'product_description': [], 'from_manufacturer_text': ['Shop your style', 'Visit the Store', 'Quilted details contrast beautifully with the premium leatherette on a lightly structured bag featuring an un-detachable sling strap. Contemporary design of the collection with durable material adds to its longevity. The brand is known for its class quality designs and the timeless women handbags from the collection renders a look worthy of a true lady.', 'Premium Material', 'Lino Perros sling bag collection stands a class apart. Luxuriously textured premium material renders durability and authenticity. High quality beautiful trims add charm to the look.', 'Sleek Design', 'The textured detail makes it simple yet trendy. Accurate size and ample space in a compact style renders it a sleek look.', 'Straight from the Brand', 'A brand that offers contemporary design with luxury well defined. Lino Perros embodies a fresh outlook to each of its product. Following acute detailing for its collection, it nurtures every range with panache.', 'Spacious Interior', 'With contemporary design, the sling bag collection offers functionality. With multiple compartments and spacious internal space, it keeps essentials organised. An extremely comfortable detachable sling strap makes it perfect to carry around and style with multiple looks.'], 'Is Discontinued By Manufacturer': 'No', 'Product Dimensions': '24 x 8 x 15 cm; 300 Grams', 'Date First Available': '27 February 2018', 'Manufacturer': 'SUMITSU APPAREL PRIVATE LIMITED', 'ASIN': 'B07B4FBQ3X', 'Item model number': 'LWSL00334RED', 'Country of Origin': 'India', 'Department': ""Women's"", 'Item Weight': '300 g', 'Item Dimensions LxWxH': '24 x 8 x 15 Centimeters', 'Net Quantity': '1.00 count', 'Included Components': 'Sling Bag'}",SUMITSU APPAREL PRIVATE LIMITED
Red Lemon Swiss Cut Design Medium 26 L Laptop Backpack Outdoor Backpack fits 15.6 inch Multifunctional Laptop Bag Backpack for Men and Women with USB port Anti Theft Travel Backpack,425,4.4,[1899],https://www.amazon.in/Red-Lemon-Backpack-Multifunctional-Charcoal/dp/B0BGSV19KZ/ref=sr_1_85_sspa?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365388&sprefix=bag%2Caps%2C551&sr=8-85-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1," PREMIUM MATERIAL: This multifunctional bag is made of quality Water Repellent polyester material in black color to protect your goods from water. For the inner lining, soft feel premium polyester is used. The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, and durable.   , LARGE CAPACITY : Comes with 2 compartments with one separate cushioned laptop sleeve to hold 15. 6 inch Laptop. Additional front zipper pockets with an organiser to store magazine, pens, key,music, cosmetic, pen, charger, powerbank, cable etc. Side pockets for water bottles,umbrella. Back hidden anti theft pocket can hold your wallet,phone,etc   , TROLLEY STRAP & CONVENIENCE : The insertible pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support. Breathable and adjustable shoulder straps relieve the stress of shoulder. Foam padded top handle for a long time carry on.   , ONE YEAR WARRANTY: 1-year warranty on this bag against any manufacturing defects. Just keep your documents safe. Contact Red Lemon for any issues regarding the product and a resolution will be provided.; Lining texture: polyester   , Pattern Name: Solid; Special Features: Laptop Compartment; Age Range Description: Adult   ",B0BGSV19KZ,"{'product_description': [], 'from_manufacturer_text': ['Red Lemon', 'Premium Quality , Affordable Rates', 'RED LEMON, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.', 'Travel Backpack Duffle Bag', 'Multi-functional Storage 3 in 1 Duffle Bag', 'High Capacity with Separate Shoe Compartment', 'Premium Material', 'Laptop Backpack', 'Visit the Store', 'Laptop Backpack', 'Visit the Store', 'Red Lemon Sling Bags', 'Visit the Store', 'Macbook Hardcases', 'Visit the Store', 'Red Lemon T1 Stylus Pen', 'UPGRADED NIB & ULTRA-HIGH PRECISION', 'PALM REJECTION - improved accuracy', 'TILT FUNCTION & MAGNETIC ADSORPTION', 'Messenger Bags', 'Visit the Store', 'Laptop Sleeves', 'Visit the Store', 'Laptop & Phone Stands', 'Visit the Store', 'Travel Organizers', 'Visit the Store', 'Mouse Pad/ Mouse Pouch', 'Visit the Store', 'Red Lemon provides protective cases, bags and sleeves for your electronic devices with practical functionality while also ramping up the sophisticated style quotient. We follow the slim compact design to ensure that our assortment of bags is not huge and bulky. Our range of laptop bags and sleeves are ergonomically designed to feature convenience, comfort, protection and ease to carry your electronic gadgets.', 'TROLLEY STRAP with breathable shoulder strap', 'TROLLEY STRAP & CONVENIENCE: The insertable pull rod box design allows the bag to slide over the luggage handle for easy mobility during traveling. Comfortable airflow back ergonomics design with soft padding, gives you maximum back support.', 'Comes with 2 compartments', 'LARGE CAPACITY: Comes with 2 compartments with one separate cushioned laptop sleeve to hold 15. 6-inch Laptop. Additional front zipper pockets with an organizer to store magazine, pens, key, music, cosmetic, pen, charger, power bank, cable etc. Side pockets for water bottles, umbrella. Back hidden anti-theft pocket can hold your wallet, phone, etc.', 'Charging port available', 'The hardware such as strengthened hooks, zippers and buckles used are wear resistant, smooth, of premium quality and durable.'], 'Product Dimensions': '15 x 32 x 45 cm; 840 Grams', 'Date First Available': '29 September 2022', 'ASIN': 'B0BGSV19KZ', 'Item model number': 'RL-BG1921', 'Country of Origin': 'China', 'Department': 'Unisex-adult', 'Item Weight': '840 g', 'Item Dimensions LxWxH': '15 x 32 x 45 Centimeters'}",
TRUE HUMAN 32 Ltrs laptop backpack ( cooper blue ),425,4.4,[625],https://www.amazon.in/TRUE-HUMAN-laptop-backpack-cooper/dp/B0BKTQ48D5/ref=sr_1_149_sspa?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365389&sprefix=bag%2Caps%2C551&sr=8-149-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&psc=1," Care Instructions: Wipe with Dry Cloth  , PREMIUM MATERIAL: Made from high quality, Premium quality smooth zippers, pullers, buckles.  , Superior & Durability: Made of durable and Eco-friendly water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different laptop brands.  , Age Range Description: Adult; Style Name:cooper  , USB FEATURE : External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.  , EXPANDABLE  ",B0BKTQ48D5,"{'product_description': [], 'from_manufacturer_text': ['True human Backpack', 'True human, a premium travel accessories brand, focusing on quality products that inspire people to explore and pursue fashion, high efficiency and unique lifestyle.', 'Superior & Durability', 'Made of durable and water resistant oxford textile fabric,which keeps your files and stuffs dry inside. This backpack can hold up to 15.6"" laptop from most brands, but it may not be suitable for all brand 15.6"". Since there maybe exist slight size difference among different', 'Multiple Compartments', 'The backpack features multiple compartments that you may use for your laptop and other essentials. A remarkable feature of this backpack allows you to charge your phone while you are on the move. With an attached charging dock in the back you may connect a portable power bank with ease', 'USB Charging Port', 'External USB port with built-in charging cable enables convenient charging by connecting your power bank with your electronic devices.', 'Multi-Level Organizer', 'The backpack has a front zipper pocket for the ID card, Sanitizer,masks, House keys, Pen. First compartment with pockets for the earphones, pens, notebook, Fitness Band', 'TRUE HUMAN', 'To create products that inspire people to get out and live passionate lives; exploring, creating, and living life in the moment!.', 'Our range of laptop bags and sleeves are ergonomically designed to feature convenience, comfort, protection and ease to carry your electronic gadgets.'], 'Product Dimensions': '33 x 45 x 12 cm; 480 Grams', 'Date First Available': '4 January 2023', 'ASIN': 'B0BKTQ48D5', 'Item model number': 'COOPER-BLUE', 'Country of Origin': 'India', 'Item Weight': '480 g', 'Item Dimensions LxWxH': '33 x 45 x 12 Centimeters'}",
Storite Stylish Padded Small Nylon Sling Cross Body Travel Office Business Messenger Bag for Men Women (25x16x7.5cm) (Dark Grey),8051,4.1,[449],https://www.amazon.in/Storite-Cross-Travel-Dark-Grey/dp/B07PFF4RYC/ref=sr_1_164?crid=2EPPM1MX5J2JV&keywords=bags&qid=1675365389&sprefix=bag%2Caps%2C551&sr=8-164," Messenger Sling Bag Dimensions – Length (Horizontal distance) - 16cm, Height - 25cm, Width - 7.5cm. small capacity but perfectly fits up to 10"" Tablet.  , Material: Made of Nylon Polyester Material with zipper. Its padded storage is resistant to water, dirt, so you don’t have to worry about anything.  , Crossbody bag Structure: A total of 4 pockets (3 zipped pockets, 1 external side pockets without zipper), adjustable shoulder strap.  , IDEAL APPLICATION: Use this Sling bag as a one side bag, messenger Sling bag, shoulder Sling bag, suitable for your office, college, outdoor travels, university, meeting, and business for everyday use  , Disclaimer: To analyze the size accurately, kindly read the dimension and check with any scale available to you before placing order.(Please Note - This Sling Bag is Small)  ",B07PFF4RYC,"{'product_description': [], 'from_manufacturer_text': ['Storite Stylish Small Nylon Padded Sling Cross Body Travel Office Business Messenger one Side Shoulder Bag for Men & Women (25x16x7.5cm) (Dark Grey)', 'Brand:', 'Storite', 'Product Material:', 'Nylon Polyester', 'Product Dimension', ':  Length (Horizontal distance) - 16cm, Height - 25cm, Width - 7.5cm . Liter Size : 3 L.small capacity but perfectly fits up to 10"" Tablet and you can use it as a business bag to put all your small Accessory', 'Product Type:', 'Cross body messenger travel', 'Product description:', 'Product Dimensions: 16cm x 7.5cm x 25cm , Belt Length - 140 cm', 'Multi-purpose Bag:', 'Multiple Compartment', 'Perfect For Travelling', 'Multi functional Bag', 'Storite Cross Body Sling Bags', 'Storite Top Sling Bags', 'Visit the Store', 'Nylon Mini Travel Bag-Grey', 'Canvas Messenger Bag - Brown', 'Sling Bag - Dark Grey', 'PU Leather Sling Bag - Brown'], 'Product Dimensions': '33 x 6.5 x 27 cm; 230 Grams', 'Date First Available': '4 March 2019', 'Manufacturer': 'SaiTech IT Private Limited', 'ASIN': 'B07PFF4RYC', 'Item model number': 'Mini Cross body Travel Bag- Dark Grey', 'Country of Origin': 'India', 'Department': 'Men', 'Item Weight': '230 g', 'Item Dimensions LxWxH': '33 x 6.5 x 27 Centimeters', 'Net Quantity': '1.00 count', 'Included Components': '1'}",SaiTech IT Private Limited
